id	name	dimension	amount	unit	confidence	basis	flags
ing.propangasflasche	Propangasflasche, Füllung	piece			0.99	Füllmenge ist bereits als 11 kg angegeben; kein Lebensmittelstück.	
ing.proteinriegel	Proteinriegel, Verkaufsware	piece	55	g	0.75	Ein handelsüblicher Proteinriegel wiegt meist etwa 50–60 g.	
ing.putenfleisch	Putenfleisch	keine			0.95	Putenfleisch wird üblicherweise nach Gewicht verkauft; Zuschnitte variieren.	
ing.raeucherfisch	Räucher- und Marinadenfisch	g			0.98	Räucherfisch und Filets werden üblicherweise nach Gewicht verkauft.	
ing.rasensaat	Rasensaat	g			0.99	Saatgut wird nach Gewicht verkauft; kein sinnvolles Stückgewicht.	
ing.rasierbedarf	Rasier- und Bartpflegemittel	ml			0.99	Pflegeprodukte werden nach Volumen verkauft.	
ing.reibekuchen	Reibekuchen, je Stück	piece	80	g	0.78	Ein handelsüblicher TK-Reibekuchen wiegt ungefähr 70–90 g.	spread 80/60
ing.reinigung	Reinigung und Hygiene	keine			1.00	Reinigungs- und Hygieneartikel haben kein einheitliches Stückgewicht.	
ing.reinigungsloesemittel	Lösemittel für Textilreinigung	ml			0.99	Lösemittel wird nach Volumen verkauft.	
ing.reinigungsmittel	Reinigungsmittel, Gebäudereinigung	ml			0.99	Reinigungsmittel wird nach Volumen verkauft.	
ing.reinigungsverbrauchsmaterial	Reinigungsverbrauchsmaterial	piece			0.98	Sammelbegriff für unterschiedliche Verbrauchsartikel ohne typisches Stückgewicht.	
ing.reis	Reis	g			0.99	Reis wird als Trockenware nach Gewicht verkauft.	
ing.reispapierblatt	Reispapierblatt	piece	8	g	0.75	Ein übliches Reispapierblatt wiegt etwa 7–10 g.	
ing.reissverschluss	Reißverschluss	piece			0.99	Nicht-Lebensmittel ohne sinnvolles typisches Stückgewicht.	
ing.riegel	Müsli- und Schokoriegel	keine	40	g	0.77	Ein typischer Müsliriegel oder Schokoriegel wiegt etwa 30–50 g.	spread 40/30
ing.rind.hack	Rinderhackfleisch	g			1.00	Wird nach Gewicht gehandelt	override
ing.rindersteak	Rindersteak	g			0.95	Steaks werden üblicherweise nach Gewicht verkauft; Beispiel nennt Verkauf je kg.	
ing.rindfleisch	Rindfleisch	g			0.99	Fleisch wird nach Gewicht verkauft; Sammelbegriff mit unterschiedlichen Zuschnitten.	
ing.rohkaffee	Rohkaffee	g			0.99	Rohkaffee wird nach Gewicht verkauft.	
ing.rohwurst	Rohwurst	g			0.97	Wurstsorten und Aufschnitt werden üblicherweise nach Gewicht verkauft.	
ing.rosewein	Roséwein	keine			0.99	Roséwein wird nach Flaschenvolumen verkauft.	
ing.rotwein	Rotwein	ml			0.99	Wein wird nach Volumen verkauft.	
ing.rum	Rum	ml			0.99	Spirituosen werden nach Volumen verkauft.	
ing.sahne	Sahne	ml			0.99	Sahne und verwandte Produkte werden nach Volumen verkauft.	
ing.salat.eisberg	Eisbergsalat	keine	600	g	1.00	Eisbergsalat-Kopf 600 g laut Fixture-Rechnungen (fixtures/dataset/2025)	override
ing.sand	Sand und Splitt	g			0.99	Schüttgut wird nach Gewicht oder Volumen, nicht je Stück verkauft.	
ing.sanitaerinstallationsmaterial	Sanitärinstallationsmaterial	piece			0.99	Sammelbegriff für unterschiedliche Bauteile ohne typisches Stückgewicht.	
ing.sanitaerobjekt	Sanitärobjekt	piece			0.99	Sanitärobjekte sind Nicht-Lebensmittel ohne sinnvolles typisches Stückgewicht.	
ing.sarg	Sarg	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht.	
ing.sargausstattung	Sargausstattung	piece			0.99	Sammelbegriff für unterschiedliche Nicht-Lebensmittel ohne typisches Stückgewicht.	
ing.schinken	Schinken und Speck	g			0.98	Schinken und Speck werden üblicherweise nach Gewicht verkauft.	
ing.schluesselrohling	Schlüsselrohling	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht.	
ing.schmalz	Schmalz und Butterschmalz	keine			0.99	Schmalz und Bratfett werden nach Gewicht bzw. Packung verkauft.	
ing.schmuck.handelsware	Schmuck, Handelsware	piece			0.99	Sammelbegriff für Schmuckstücke mit stark unterschiedlichem Gewicht.	
ing.schmuckzubehoer	Schmuckzubehör	piece			0.99	Sammelbegriff für Zubehör mit stark unterschiedlichem Gewicht.	
ing.schnittblume	Schnittblume, je Stiel	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht.	
ing.schnittgruen	Schnittgrün	piece			0.99	Floristikware ohne einheitliches typisches Stückgewicht.	
ing.schnittkaese	Schnittkäse	g			0.99	Käse und Käsesortimente werden nach Gewicht verkauft.	
ing.schnitzel.paniert	Schnitzel, paniert, je Stück	piece	180	g	0.82	Ein paniertes Gastronomie-Schnitzel wiegt typischerweise etwa 160–200 g.	
ing.schokolade	Schokolade	keine			0.94	Schokolade wird üblicherweise nach Tafeln- oder Packungsgewicht verkauft.	
ing.schuhabsatz	Schuhabsatz, Paar	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht.	
ing.schuhpaar.handelsware	Schuhpaar, Handelsware	piece			0.99	Nicht-Lebensmittel ohne sinnvolles Stückgewicht.	
ing.schweinefleisch	Schweinefleisch	g			0.99	Fleisch wird nach Gewicht verkauft; Sammelbegriff mit unterschiedlichen Zuschnitten.	
ing.schweinefleisch.mit.knochen	Schweinefleisch mit Knochen	g			0.99	Fleisch mit Knochen wird nach Gewicht verkauft.	
ing.seefischfilet	Seefischfilet	g			0.98	Fischfilets werden üblicherweise nach Gewicht verkauft.	
ing.sekt	Schaumwein	ml			0.99	Schaumwein wird nach Volumen verkauft.	
ing.senf	Senf	g			0.98	Senf wird als Sauce nach Gewicht oder Gebindegröße bezogen, nicht als Stück.	
ing.senfsaat	Senfsaat	g			0.99	Senfsaat ist lose beziehungsweise als variable Packungsware erhältlich.	
ing.serviceverpackung	Servierverpackung	piece			0.99	Verpackung ist kein Lebensmittel mit sinnvollem Stückgewicht.	
ing.silikondichtstoff	Silikondichtstoff	g			0.99	Nicht-Lebensmittel; keine sinnvolle Stückgewichtsangabe.	
ing.smartphone.ersatzteil	Smartphone-Ersatzteil	piece			0.99	Ersatzteile unterscheiden sich stark und haben kein sinnvolles typisches Stückgewicht.	
ing.smartphone.handelsware	Smartphone, Handelsware	piece			0.99	Technikware ohne sinnvolles typisches Stückgewicht.	
ing.sonnenbrille	Sonnenbrille	piece			0.99	Handelsware ohne sinnvolles Stückgewicht für die Umsatzschätzung.	
ing.spargel	Spargel	keine	25	g	0.68	Eine Spargelstange wiegt je nach Sorte und Stärke etwa 20–35 g.	null-split
ing.speiseeis	Speiseeis	g			1.00	Eis im Gebinde nach Volumen/Gewicht, Kugel ist keine Einkaufseinheit	override
ing.speisefisch.ganz	Speisefisch, ganz	g	450	g	0.85	Ganze Dorade liegt typischerweise bei etwa 400–500 g; Rezept nennt 450 g.	
ing.speisepilze	Speisepilze	g			0.93	Pilze und Pilzmischungen werden üblicherweise nach Gewicht bezogen.	
ing.spielware.handelsware	Spielware, Handelsware	piece			0.99	Handelsware ohne sinnvolles typisches Stückgewicht.	
ing.spinat	Spinat und Blattgemüse	keine			0.95	Spinat und Blattgemüse werden überwiegend nach Gewicht verkauft.	
ing.spirituose	Spirituose	ml			0.99	Spirituosen werden nach Volumen bezogen und dosiert.	
ing.spirituose.handelsware	Spirituose, Verkaufsflasche	piece			0.97	Flaschengrößen variieren; die Beispielware nennt bereits 0,7 l.	
ing.sportartikel.verkaufsware	Sportartikel, Verkaufsware	piece			0.99	Sportartikel sind keine Lebensmittel mit sinnvoller Stückgewichtsangabe.	
ing.sportnahrungspulver	Sportnahrungspulver	g			0.97	Pulver wird nach Gewicht bezogen; Packungsgrößen variieren.	
ing.stieleis	Stieleis, einzeln verpackt	piece	60	g	0.72	Ein einzelnes Stieleis wiegt typischerweise etwa 50–80 g.	
ing.stoff	Stoff, je Meter	piece			0.99	Stoff wird nach Länge verkauft; kein sinnvolles Stückgewicht.	
ing.stopfleber	Stopfleber	keine			0.98	Stopfleber wird nach Gewicht oder als Block verkauft.	
ing.sublimationstransfer	Sublimationstransfer	piece			0.99	Nicht-Lebensmittel ohne sinnvolles typisches Stückgewicht.	
ing.suessungsmittel	Sirup und Süßungsmittel	keine			0.99	Sammelkategorie aus Sirupen und Süßungsmitteln; keine einheitliche Stückgröße.	
ing.suessware	Bonbon und Fruchtgummi	keine			0.98	Bonbons und Fruchtgummi werden üblicherweise nach Gewicht oder Packung verkauft.	
ing.suesswaren.handelsware	Süßwaren und Knabberartikel, Verkaufspackung	piece			0.98	Verkaufspackungen haben stark unterschiedliche Füllmengen.	
ing.suppe	Suppe und Eintopf	keine			0.98	Suppen und Eintöpfe werden nach Packungs- oder Portionsgröße verkauft, nicht als Stück.	
ing.tapete	Tapete, Rolle	piece			0.99	Nicht-Lebensmittel; Rollen unterscheiden sich in Format und Gewicht.	
ing.tapiokaperlen	Tapiokaperlen	g			0.99	Tapiokaperlen werden als Trockenware nach Gewicht bezogen.	
ing.tattoo.farbe	Tattoo-Farbe	ml			0.99	Nicht-Lebensmittel; Farbe wird nach Volumen abgefüllt.	
ing.tattoo.verbrauchsmaterial	Tattoo- und Piercingverbrauchsmaterial	piece			0.99	Verbrauchsmaterial umfasst unterschiedliche Artikel ohne einheitliches Stückgewicht.	
ing.tee	Tee	g			0.98	Tee wird als lose Ware oder Packung nach Gewicht bezogen.	
ing.teigblatt	Teig und Teigblätter	keine			0.96	Teige und Teigblätter unterscheiden sich stark in Form und Größe.	
ing.teigtasche	Teigtasche, je Stück	piece	50	g	0.72	Eine typische Maultasche wiegt etwa 40–60 g.	
ing.textildruckfarbe	Textildruckfarbe	g			0.99	Nicht-Lebensmittel; Farbe wird nach Gewicht beziehungsweise Gebinde verkauft.	
ing.textilrohling	Textilrohling	piece			0.99	Textilware hat je nach Kleidungsstück und Größe stark unterschiedliche Gewichte.	
ing.thunfischkonserve	Thunfischkonserve	g			0.97	Konservendosen unterscheiden sich in Füll- und Abtropfgewicht.	
ing.tiefkuehlgemuese	Gemüse, tiefgekühlt	g			0.98	Tiefkühlgemüse wird üblicherweise nach Gewicht bezogen.	
ing.tiefkuehlobst	Obst, tiefgekühlt	g			0.98	Tiefkühlobst wird üblicherweise nach Gewicht bezogen.	
ing.tiefkuehlpizza	Tiefkühlpizza, je Stück	piece	350	g	0.82	Eine handelsübliche Tiefkühlpizza wiegt meist etwa 300–400 g.	
ing.tierarzneimittel	Tierarzneimittel	piece			0.99	Arzneimittel unterscheiden sich stark; kein sinnvolles einheitliches Stückgewicht.	
ing.tierfutter	Tierfutter	g			0.98	Tierfutter wird nach Gewicht verkauft; Packungs- und Gebindegrößen variieren.	
ing.tierpflegemittel	Tierpflegemittel	ml			0.98	Pflegemittel werden nach Volumen abgefüllt.	
ing.tierzubehoer	Tierzubehör, Handelsware	piece			0.99	Zubehörartikel unterscheiden sich stark und haben kein typisches Stückgewicht.	
ing.tintenfisch	Tintenfisch	g			0.92	Tintenfisch und Ringe werden üblicherweise nach Gewicht bezogen.	
ing.toastbrot	Toastbrot	g	500	g	1.00	Toastbrot-Laib 500 g	override
ing.toepferton	Töpferton	g			0.99	Nicht-Lebensmittel; Ton wird nach Gewicht bezogen.	
ing.tofu	Tofu und Seitan	g			0.94	Tofu und Seitan werden meist in variablen Packungen nach Gewicht bezogen.	
ing.tomaten	Tomaten	g	120	g	0.78	Eine mittelgroße frische Tomate wiegt typischerweise etwa 100–150 g.	
ing.tomatenmark	Tomatenmark	g			0.99	Paste wird nach Gewicht dosiert, kein typisches Stück.	
ing.tonerkartusche	Tonerkartusche	piece			0.99	Kein Lebensmittel; Kartuschengewicht ist kein sinnvolles Stückgewicht.	
ing.topfpflanze	Topfpflanze	piece			0.99	Pflanzen unterscheiden sich stark; kein sinnvolles Stückgewicht.	
ing.tortenboden	Tortenboden	piece	300	g	0.75	Handelsüblicher Biskuit-Tortenboden liegt häufig bei etwa 250–350 g.	
ing.tortendekor	Tortendekor und Glasur	keine			0.98	Dekor und Glasur sind keine einheitliche, typischerweise gezählte Stückware.	
ing.tortillachips	Tortillachips	g			0.99	Chips werden üblicherweise nach Packungs- oder Portionsgewicht verkauft.	
ing.trauergesteck	Trauergesteck	piece			0.99	Kein Lebensmittel; kein übliches Stückgewicht.	
ing.trueffel	Trüffel	keine			0.96	Sammelkategorie aus frischen Trüffeln und verarbeiteten Trüffelprodukten; keine einheitliche Stückgröße.	
ing.uhrenknopfzelle	Uhrenknopfzelle	piece			0.99	Kein Lebensmittel; Gewicht ist für die Stückschätzung nicht sinnvoll.	
ing.urne	Urne	piece			0.99	Kein Lebensmittel; kein sinnvolles Stückgewicht.	
ing.veredelungsrohling	Rohling zum Veredeln	piece			0.99	Rohlinge variieren je nach Material und Produkt; kein typisches Stückgewicht.	
ing.verpackung	Verpackung und Einweg	keine			1.00	Verpackungs- und Einwegartikel haben kein sinnvolles Stückgewicht für die Schätzung.	
ing.vollei	Flüssigei	g			0.99	Flüssigei wird als Masse dosiert, nicht pro Stück.	
ing.vollmilch	Milch	ml			0.99	Milch wird nach Volumen dosiert; Packungsgrößen stehen üblicherweise am Artikel.	
ing.waesche.und.accessoires.handelsware	Wäsche und Accessoires, Handelsware	piece			0.99	Textilien sind keine Lebensmittel; Stückgewicht ist nicht sinnvoll standardisierbar.	
ing.waschmittel	Waschmittel, Wäscherei	ml			0.99	Flüssiges Waschmittel wird nach Volumen dosiert.	
ing.wasserpfeifentabak	Wasserpfeifentabak	g			0.99	Tabak wird nach Gewicht verkauft und dosiert, nicht pro Stück.	
ing.wasserpfeifenzubehoer	Wasserpfeifenzubehör	piece			0.99	Zubehör ist kein Lebensmittel; Stücke sind zu unterschiedlich.	
ing.weichkaese	Weichkäse	g			0.99	Weichkäse wird als Zutat nach Gewicht dosiert.	
ing.weihnachtsbaum	Weihnachtsbaum	piece			0.99	Kein Lebensmittel; Baumgröße und -gewicht variieren stark.	
ing.wein.handelsware	Wein, Verkaufsflasche	piece			0.99	Verkaufsflasche; das Volumen ist üblicherweise im Artikelnamen angegeben.	null-split
ing.weisswein	Weißwein	ml			0.99	Wein wird nach Volumen dosiert.	
ing.weizentortilla	Weizentortilla	piece	60	g	0.80	Ein handelsüblicher Wrap wiegt meist etwa 50–70 g.	
ing.wermut	Wermut und Bitteraperitif	ml			0.99	Aperitif wird nach Volumen dosiert.	
ing.whiskey	Whiskey	ml			0.99	Whiskey wird nach Volumen dosiert.	
ing.wildfleisch	Wildfleisch	keine			0.97	Wildfleisch umfasst unterschiedliche Zuschnitte und wird üblicherweise nach Gewicht verkauft.	
ing.wimpernextensions	Wimpernextensions	piece			0.99	Einzelne Extensions sind kein sinnvoll nach Gewicht standardisierbares Stück.	
ing.wimpernkleber	Wimpernkleber	ml			0.99	Kleber wird nach Volumen dosiert.	
ing.wodka	Wodka	ml			0.99	Wodka wird nach Volumen dosiert.	
ing.wuerzpaste	Würzpaste	g			0.99	Paste wird nach Gewicht dosiert, kein typisches Stück.	
ing.wuerzsauce	Würzsauce, flüssig	ml			0.99	Flüssige Würzsauce wird nach Volumen dosiert.	
ing.wurstaufschnitt	Wurstaufschnitt	g			0.99	Aufschnitt wird üblicherweise nach Gewicht verkauft und dosiert.	
ing.wurzelgemuese	Wurzel- und Knollengemüse	g	80	g	0.60	Karotte ist die häufigste Sorte; eine typische Möhre wiegt etwa 70–100 g.	
ing.zement	Zement	g			0.99	Baustoff wird nach Gewicht bzw. Sackinhalt verkauft; kein Stückgewicht.	
ing.zierfisch	Zierfisch, Handelsware	piece			0.99	Tiergröße und -art variieren; kein sinnvolles Stückgewicht für die Schätzung.	
ing.zierkuerbis	Zierkürbis	piece	500	g	0.50	Kleine Zierkürbisse liegen häufig ungefähr bei 300–800 g pro Stück.	
ing.zigaretten	Zigaretten und Zigarillos	piece			0.99	Packungsware; kein sinnvolles Stückgewicht für die Umsatzschätzung.	
ing.zirkonia	Zirkonia	piece			0.99	Steingrößen variieren stark; kein typisches Stückgewicht.	
ing.zitrusfruechte	Zitrusfrüchte	g	130	g	0.70	Als häufigste Sorte angesetzt: eine mittelgroße Zitrone wiegt etwa 120–150 g.	
ing.zitrussaft	Zitrussaft	ml			0.99	Saft und Konzentrate werden nach Volumen dosiert.	
ing.zucker	Zucker	g			0.99	Zucker wird nach Gewicht dosiert; kein typisches Stück.	
ing.zwiebeln	Zwiebeln und Lauch	g	100	g	0.70	Als häufigste Sorte angesetzt: eine mittelgroße Küchenzwiebel wiegt etwa 80–120 g.	
